iter	Passed	Remaining
445	1159	1439
446	1161	1437
447	1163	1434
448	1166	1431
449	1168	1428
450	1170	1424
451	1172	1421
452	1174	1418
453	1176	1414
454	1180	1413
455	1183	1411
456	1185	1408
457	1187	1405
458	1189	1401
459	1191	1398
460	1194	1396
461	1197	1394
462	1199	1391
463	1201	1387
464	1203	1385
465	1206	1382
466	1209	1380
467	1212	1377
468	1214	1374
469	1217	1373
470	1219	1370
471	1221	1366
472	1225	1364
473	1227	1362
474	1230	1359
475	1232	1356
476	1234	1353
477	1238	1352
478	1241	1349
479	1243	1347
480	1245	1344
481	1247	1341
482	1250	1338
483	1252	1335
484	1255	1332
485	1257	1330
486	1259	1327
487	1262	1325
488	1265	1322
489	1266	1318
490	1269	1316
491	1272	1313
492	1274	1310
493	1276	1307
494	1278	1303
495	1279	1300
496	1281	1297
497	1284	1294
498	1286	1291
499	1289	1289
500	1291	1286
501	1292	1282
502	1295	1279
503	1297	1277
504	1299	1273
505	1302	1271
506	1304	1268
507	1305	1264
508	1309	1263
509	1311	1260
510	1315	1258
511	1319	1257
512	1323	1256
513	1325	1253
514	1328	1250
515	1330	1248
516	1333	1245
517	1335	1242
518	1336	1239
519	1338	1235
520	1341	1233
521	1344	1230
522	1346	1228
523	1348	1224
524	1350	1221
525	1352	1218
526	1354	1215
527	1356	1212
528	1358	1209
529	1361	1207
530	1364	1204
531	1366	1202
532	1368	1199
533	1371	1196
534	1373	1193
535	1376	1191
536	1378	1188
537	1380	1185
538	1381	1181
539	1383	1178
540	1386	1176
541	1389	1173
542	1391	1170
543	1393	1168
544	1395	1165
545	1397	1162
546	1400	1159
547	1401	1156
548	1404	1153
549	1407	1151
550	1409	1148
551	1410	1144
552	1413	1142
553	1415	1139
554	1417	1136
555	1419	1133
556	1422	1131
557	1425	1129
558	1427	1126
559	1429	1123
560	1432	1120
561	1434	1118
562	1437	1115
563	1439	1112
564	1441	1109
565	1443	1106
566	1445	1103
567	1447	1100
568	1449	1098
569	1452	1096
570	1455	1093
571	1457	1090
572	1460	1088
573	1461	1084
574	1465	1082
575	1467	1080
576	1469	1077
577	1471	1074
578	1473	1071
579	1475	1068
580	1478	1065
581	1480	1063
582	1484	1061
583	1486	1058
584	1488	1055
585	1491	1053
586	1493	1050
587	1495	1047
588	1498	1045
589	1500	1042
590	1501	1039
591	1504	1036
592	1506	1033
593	1508	1030
594	1511	1028
595	1513	1025
596	1515	1023
597	1517	1020
598	1519	1017
599	1521	1014
600	1523	1011
601	1525	1008
602	1527	1005
603	1529	1002
604	1531	999
605	1533	997
606	1535	994
607	1537	991
608	1539	988
609	1541	985
610	1544	983
611	1545	980
612	1547	977
613	1549	974
614	1551	971
615	1552	968
616	1554	965
617	1556	962
618	1559	959
619	1561	956
620	1562	953
621	1564	950
622	1566	947
623	1567	944
624	1570	942
625	1572	939
626	1573	936
627	1575	933
628	1577	930
629	1579	927
630	1581	924
631	1583	921
632	1586	919
633	1588	917
634	1590	914
635	1591	911
636	1593	908
637	1595	905
638	1597	902
639	1599	899
640	1603	897
641	1605	895
642	1606	892
643	1608	889
644	1610	886
645	1612	883
646	1614	880
647	1616	878
648	1619	875
649	1621	873
650	1623	870
651	1625	867
652	1627	864
653	1632	863
654	1634	861
655	1638	859
656	1641	856
657	1643	854
658	1646	851
659	1649	849
660	1653	847
661	1655	845
662	1658	842
663	1662	841
664	1664	838
665	1666	835
666	1668	833
667	1670	830
668	1672	827
669	1675	825
670	1677	822
671	1679	819
672	1681	817
673	1683	814
674	1689	813
675	1693	811
676	1698	810
677	1701	807
678	1703	805
679	1705	802
680	1708	800
681	1710	797
682	1713	795
683	1715	792
684	1718	790
685	1720	787
686	1723	785
687	1726	783
688	1728	780
689	1730	777
690	1732	774
691	1737	773
692	1739	770
693	1740	767
694	1742	764
695	1744	762
696	1746	759
697	1749	756
698	1751	754
699	1753	751
700	1754	748
701	1756	745
702	1758	743
703	1760	740
704	1762	737
705	1764	734
706	1767	732
707	1768	729
708	1770	726
709	1772	723
710	1774	721
711	1775	718
712	1777	715
713	1779	712
714	1782	710
715	1784	707
716	1786	705
717	1787	702
718	1790	699
719	1792	696
720	1794	694
721	1797	692
722	1799	689
723	1802	687
724	1804	684
725	1806	681
726	1808	679
727	1810	676
728	1813	674
729	1815	671
730	1817	668
731	1819	666
732	1821	663
733	1822	660
734	1824	657
735	1827	655
736	1828	652
737	1830	649
738	1832	647
739	1834	644
740	1836	641
741	1838	639
742	1841	636
743	1843	634
744	1845	631
745	1847	628
746	1849	626
747	1851	623
748	1853	621
749	1856	618
750	1858	616
751	1859	613
752	1861	610
753	1863	607
754	1865	605
755	1867	602
756	1869	600
757	1871	597
758	1873	594
759	1875	592
760	1877	589
761	1879	587
762	1881	584
763	1883	581
764	1886	579
765	1888	576
766	1890	574
767	1892	571
768	1894	568
769	1895	566
770	1897	563
771	1899	561
772	1902	558
773	1904	556
774	1905	553
775	1907	550
776	1909	547
777	1911	545
778	1913	542
779	1916	540
780	1918	537
781	1920	535
782	1922	532
783	1924	530
784	1926	527
785	1927	524
786	1935	523
787	1938	521
788	1941	519
789	1943	516
790	1946	514
791	1949	512
792	1951	509
793	1953	506
794	1955	504
795	1957	501
796	1959	499
797	1962	496
798	1964	494
799	1965	491
800	1967	488
801	1969	486
802	1970	483
803	1972	480
804	1974	478
805	1976	475
806	1978	473
807	1980	470
808	1982	467
809	1983	465
810	1985	462
811	1987	460
812	1988	457
813	1991	455
814	1993	452
815	1995	449
816	1997	447
817	1999	444
818	2001	442
819	2003	439
820	2005	437
821	2008	434
822	2010	432
823	2012	429
824	2014	427
825	2016	424
826	2018	422
827	2020	419
828	2022	417
829	2023	414
830	2025	411
831	2026	409
832	2028	406
833	2030	404
834	2032	401
835	2034	399
836	2036	396
837	2038	394
838	2039	391
839	2041	388
840	2043	386
841	2045	383
842	2047	381
843	2049	378
844	2052	376
845	2054	373
846	2056	371
847	2058	368
848	2060	366
849	2062	364
850	2067	362
851	2071	359
852	2074	357
853	2076	355
854	2078	352
855	2081	350
856	2083	347
857	2085	345
858	2087	342
859	2093	340
860	2095	338
861	2097	335
862	2099	333
863	2100	330
864	2102	328
865	2104	325
866	2106	323
867	2108	320
868	2110	318
869	2113	315
870	2114	313
871	2116	310
872	2118	308
873	2120	305
874	2122	303
875	2123	300
876	2125	298
877	2128	295
878	2130	293
879	2132	290
880	2135	288
881	2136	285
882	2138	283
883	2140	280
884	2142	278
885	2144	275
886	2145	273
887	2147	270
888	2149	268
889	2151	265
890	2153	263
891	2154	260
892	2157	258
893	2159	256
894	2160	253
895	2162	251
896	2164	248
897	2166	246
898	2168	243
899	2170	241
900	2172	238
901	2174	236
902	2176	233
903	2177	231
904	2179	228
905	2181	226
906	2183	223
907	2186	221
908	2189	219
909	2190	216
910	2192	214
911	2194	211
912	2196	209
913	2197	206
914	2200	204
915	2202	201
916	2204	199
917	2206	197
918	2207	194
919	2209	192
920	2211	189
921	2213	187
922	2214	184
923	2216	182
924	2218	179
925	2221	177
926	2222	175
927	2224	172
928	2226	170
929	2228	167
930	2230	165
931	2231	162
932	2233	160
933	2235	157
934	2237	155
935	2238	153
936	2240	150
937	2242	148
938	2244	145
939	2246	143
940	2249	141
941	2251	138
942	2252	136
943	2254	133
944	2256	131
945	2258	128
946	2260	126
947	2262	124
948	2264	121
949	2266	119
950	2268	116
951	2269	114
952	2271	112
953	2273	109
954	2275	107
955	2277	104
956	2279	102
957	2281	100
958	2282	97
959	2284	95
960	2286	92
961	2288	90
962	2290	87
963	2292	85
964	2294	83
965	2296	80
966	2298	78
967	2300	76
968	2302	73
969	2304	71
970	2305	68
971	2308	66
972	2311	64
973	2312	61
974	2314	59
975	2316	56
976	2318	54
977	2320	52
978	2321	49
979	2324	47
980	2326	45
981	2327	42
982	2329	40
983	2331	37
984	2333	35
985	2335	33
986	2336	30
987	2338	28
988	2341	26
989	2343	23
990	2344	21
991	2346	18
992	2348	16
993	2350	14
994	2351	11
995	2354	9
996	2356	7
997	2357	4
998	2359	2
999	2361	0
